date;state;city;place_type;confirmed;deaths;is_last;estimated_population_2019;city_ibge_code;confirmed_per_100k_inhabitants;death_rate
21/04/2020;AC;Acrelândia;city;12;0;True;15256;1200013;7.865.758;
21/04/2020;AC;Bujari;city;1;0;True;10266;1200138;974.089;
21/04/2020;AC;Cruzeiro do Sul;city;5;0;True;88376;1200203;565.764;
21/04/2020;AC;Plácido de Castro;city;20;1;True;19761;1200385;10.120.945;0.05
21/04/2020;AC;Porto Acre;city;1;0;True;18504;1200807;540.424;
21/04/2020;AC;Rio Branco;city;154;7;True;407319;1200401;378.082;0.0455
21/04/2020;AC;Senador Guiomard;city;2;0;True;23024;1200450;868.659;
21/04/2020;AL;Arapiraca;city;1;0;True;231747;2700300;0.43151;
21/04/2020;AL;Boca da Mata;city;1;0;True;27281;2701001;366.555;
21/04/2020;AL;Capela;city;1;0;True;17053;2701704;586.407;
21/04/2020;AL;Ibateguara;city;1;1;True;15616;2703007;640.369;1.0
21/04/2020;AL;Importados/Indefinidos;city;8;2;True;;;;0.25
21/04/2020;AL;Maceió;city;176;13;True;1018948;2704302;1.727.272;0.0739
21/04/2020;AL;Marechal Deodoro;city;6;1;True;51901;2704708;1.156.047;0.1667
21/04/2020;AL;Maribondo;city;1;0;True;13264;2704807;75.392;
21/04/2020;AL;Murici;city;1;0;True;28236;2705507;354.158;
21/04/2020;AL;Palmeira dos Índios;city;2;0;True;73218;2706307;273.157;
21/04/2020;AL;Pilar;city;2;0;True;35111;2706901;569.622;
21/04/2020;AL;Porto Real do Colégio;city;1;0;True;20066;2707503;498.355;
21/04/2020;AL;Rio Largo;city;5;0;True;75120;2707701;665.602;
21/04/2020;AL;São Miguel dos Milagres;city;1;1;True;7951;2708709;1.257.703;1.0
21/04/2020;AL;Satuba;city;1;0;True;13828;2708907;72.317;
21/04/2020;AL;União dos Palmares;city;1;0;True;65611;2709301;152.413;
21/04/2020;AL;Viçosa;city;1;1;True;25733;2709400;388.606;1.0
21/04/2020;AM;Anamã;city;1;0;True;13614;1300086;734.538;
21/04/2020;AM;Anori;city;7;0;True;21010;1300102;3.331.747;
21/04/2020;AM;Autazes;city;2;0;True;39565;1300300;505.497;
21/04/2020;AM;Beruri;city;1;1;True;19679;1300631;508.156;1.0
21/04/2020;AM;Boca do Acre;city;1;0;True;34308;1300706;291.477;
21/04/2020;AM;Canutama;city;1;0;True;15629;1300904;639.836;
21/04/2020;AM;Carauari;city;1;1;True;28294;1301001;353.432;1.0
21/04/2020;AM;Careiro;city;8;2;True;37869;1301100;2.112.546;0.25
21/04/2020;AM;Careiro da Várzea;city;4;0;True;30225;1301159;1.323.408;
21/04/2020;AM;Coari;city;2;0;True;85097;1301209;235.026;
21/04/2020;AM;Iranduba;city;37;3;True;48296;1301852;766.109;0.0811
21/04/2020;AM;Itacoatiara;city;39;1;True;101337;1301902;3.848.545;0.0256
21/04/2020;AM;Juruá;city;1;0;True;14712;1302207;679.717;
21/04/2020;AM;Jutaí;city;1;0;True;14317;1302306;69.847;
21/04/2020;AM;Lábrea;city;2;0;True;46069;1302405;434.131;
21/04/2020;AM;Manacapuru;city;218;12;True;97377;1302504;22.387.217;0.055
21/04/2020;AM;Manaus;city;1809;163;True;2182763;1302603;8.287.661;0.0901
21/04/2020;AM;Manicoré;city;1;1;True;55751;1302702;179.369;1.0
21/04/2020;AM;Maués;city;28;2;True;63905;1302900;4.381.504;0.0714
21/04/2020;AM;Novo Airão;city;2;1;True;19454;1303205;1.028.066;0.5
21/04/2020;AM;Parintins;city;29;3;True;114273;1303403;2.537.782;0.1034
21/04/2020;AM;Presidente Figueiredo;city;12;1;True;36279;1303536;3.307.699;0.0833
21/04/2020;AM;Santa Isabel do Rio Negro;city;1;0;True;25156;1303601;397.519;
